csc1000	1-0-0
csc1001	3-1-0
csc1001L	0-1-0
csc1024	1-0-1
csc1031	0-0-2
csc1032	2-0-1
csc2001	3-1-0
csc2001L	0-1-0
csc2050	2-0-1
csc2092	4-0-0
csc2200	3-0-0
csc2270	various
csc2292	various
cpe2300	3-0-0
csc2600	2-0-1
csc3000	3-0-0
csc3001	3-1-0
csc3044	Lecture_with_Lab
csc3100	3-1-0
csc3104	2-0-1
csc3111	2-0-1
csc3112	2-0-1
csc3113	2-0-1
csc3200	2-0-1
csc3201	3-0-0
csc3203	1-0-1
csc3250	1-0-1
csc3300	2-0-1
csc3445	3-0-0
csc3449	4-0-0
csc3660	1-0-1
csc3662	1-0-1
csc3665	3-1-0
csc3710	1-0-0
csc3760	2-0-1
csc3780	3-1-0
csc4036	2-0-1
csc4037	2-0-1
csc4091	1-0-0
csc4092	various
csc4093	various
csc4100	3-1-0
csc4160	3-1-0
csc4161	3-1-0
csc4170	various
csc4184	2-0-1
csc4186	2-0-1
csc4191	1-0-0
csc4192	various
csc4193	various
csc4210	2-1-0
csc4212	2-0-1
csc4214	1-0-0
cpe4220	2-0-1
cpe4225	2-0-1
csc4230	2-0-1
csc4260	2-1-0
csc4261	2-1-0
csc4270	various
csc4291	1-0-0
csc4292	various
csc4293	various
csc4310	2-0-1
csc4400	Independent_Study
csc4431	1-0-2
csc4432	1-0-2
csc4448	4-0-0
csc4460	Independent_Study
csc4461	Independent_Study
csc4470	various
csc4471	Lab_only
csc4472	Activity_only
csc4495	Independent_Study
csc4553	2-0-1
csc4554	4-0-0
cpe4669	3-1-0
csc4570	various
csc4610	3-1-0
csc4620	3-1-0
csc4665	3-1-0
csc4667	3-1-0
csc4691	Seminar_only
csc4692	Lecture_only
csc4693	Lecture_only
csc4710	2-1-0
csc4730	2-0-1
csc4740	2-1-0
csc4760	2-1-0
csc4770	various
csc4791	1-0-0
csc4792	various
csc4793	various
csc4820	3-1-0
csc4821	Lecture_with_Lab
csc4880	3-1-0
csc4881	3-1-0
csc4888	3-1-0
csc4891	1-0-0
csc4892	Lecture_only
csc4893	Lecture_only
csc4991	1-0-0
csc4992	Lecture_only
csc4993	Lecture_only
csc5092	Lecture_only
csc5100	3-0-0
csc5113	3-0-0
csc5170	Lecture_only
csc5201	3-0-0
csc5210	3-0-0
csc5220	3-0-0
csc5270	various
csc5281	2-0-1
csc5292	Lecture_only
cpe5300	2-0-1
csc5300	Lecture_only
csc5370	various
csc5445	2-0-0
csc5447	2-0-0
csc5449	4-0-0
csc5500	Independent_Study
csc5550	3-0-0
csc5570	various
csc5571	Lab_only
csc5572	Activity_only
csc5590	3-0-0
csc5591	Independent_Study
csc5595	Independent_Study
csc5599	Independent_Study
cpe5640	Lecture_only
csc5660	4-0-0
csc5666	4-0-0
csc5669	3-1-0
csc5670	various
csc5710	2-1-0
csc5740	2-1-0
csc5770	various
csc5810	Lecture_with_Lab
csc5820	3-1-0
csc5870	various
csc5880	3-1-0
csc5887	4-0-0
cpe1000	1-0-0
cpe2300	3-0-0
cpe2301	0-1-0
cpe3160	2-0-1
cpe3201	3-0-0
cpe3300	3-1-0
cpe3345	2-0-1
cpe4140	2-0-1
cpe4160	3-1-0
cpe4180	2-0-1
cpe4190	3-1-0
cpe4220	2-0-1
cpe4250	2-0-1
cpe4260	2-1-0
cpe4261	2-1-0
cpe4280	2-0-1
cpe4300	3-1-0
cpe4310	2-0-1
cpe4390	2-0-1
cpe4400	nonstandard
cpe4420	2-0-1
cpe4455	3-1-0
cpe4460	1-2-0
cpe4461	1-2-0
cpe4464	2-1-0
cpe4465	2-0-1
cpe4470	various
cpe4471	various
cpe4472	nonstandard
cpe4491	1-0-0
cpe4492	various
cpe4493	various
cpe4495	nonstandard
cpe4553	2-0-1
cpe4570	various
cpe4650	2-1-0
cpe4669	3-1-0
cpe4995	various
cpe5300	3-0-0
cpe5350	2-0-1
cpe5420	3-1-0
cpe5564	3-0-0
cpe5660	2-0-1
